ts_code,trade_date,pct_chg,market
2059,2022-01-06,6.052269601,0
955,2022-01-06,-0.168067227,0
600272,2022-01-06,9.889001009,60
300052,2022-01-06,-10.13238289,30
600423,2022-01-06,2.375809935,60
600860,2022-01-06,9.990205681,60
601107,2022-01-06,1.688555347,60
600706,2022-01-06,-2.912621359,60
603123,2022-01-06,10.0814664,60
603096,2022-01-06,0.574191599,60
300612,2022-01-06,-12.08860759,30
603536,2022-01-06,-3.655913978,60
600996,2022-01-06,-5.044510386,60
688526,2022-01-06,-2.845528455,68
300479,2022-01-06,-3.350515464,30
300312,2022-01-06,7.297297297,30
605069,2022-01-06,10.03401361,60
688655,2022-01-06,-3.990422985,68
300264,2022-01-06,-8.35443038,30
300389,2022-01-06,10.64021641,30
546,2022-01-06,10.0069979,0
600077,2022-01-06,10.06097561,60
600753,2022-01-06,3.841931943,60
300043,2022-01-06,-3.125,30
601798,2022-01-06,3.298969072,60
603176,2022-01-06,10.13513514,60
605388,2022-01-06,10.00502765,60
300858,2022-01-06,19.98377501,30
2370,2022-01-07,10.0952381,0
2342,2022-01-07,-5.185185185,0
605598,2022-01-07,9.973190349,60
600479,2022-01-07,-8.850174216,60
2783,2022-01-07,-4.14507772,0
688658,2022-01-07,-1.927882899,68
605069,2022-01-07,9.994848016,60
600861,2022-01-07,3.699593045,60
600478,2022-01-07,-4.016064257,60
2873,2022-01-07,0.833333333,0
603319,2022-01-07,-1.065449011,60
605388,2022-01-07,-0.731261426,60
2101,2022-01-07,-2.437043054,0
2256,2022-01-07,-1.7578125,0
605186,2022-01-07,-4.54899922,60
603311,2022-01-07,-9.949302915,60
603139,2022-01-07,-5.833333333,60
603123,2022-01-07,9.990749306,60
603222,2022-01-07,0.075244545,60
2482,2022-01-07,10.18181818,0
605166,2022-01-07,2.848484848,60
601068,2022-01-07,-1.153212521,60
3043,2022-01-07,-8.319123021,0
600651,2022-01-07,1.162790698,60
601515,2022-01-07,-1.724137931,60
411,2022-01-07,-3.160453809,0
600235,2022-01-07,-2.835820896,60
601717,2022-01-07,-1.6273393,60
301058,2022-01-07,4.678362573,30
601588,2022-01-07,1.408450704,60
603665,2022-01-07,-1.246192191,60
2541,2022-01-07,2.754690097,0
810,2022-01-07,0.71371927,0
2289,2022-01-07,-3.739445115,0
603176,2022-01-07,10.12269939,60
600077,2022-01-07,9.972299169,60
2486,2022-01-07,-7.2,0
2355,2022-01-07,-5.489614243,0
300583,2022-01-07,-4.139668826,30
1216,2022-01-07,-5.51982851,0
2843,2022-01-07,-2.005469462,0
605507,2022-01-07,0.620306889,60
688262,2022-01-07,1.054443727,68
300286,2022-01-07,-0.654897494,30
777,2022-01-07,-3.175631886,0
603200,2022-01-07,-3.644646925,60
600493,2022-01-07,-5.742296919,60
688212,2022-01-07,-4.622599375,68
2043,2022-01-07,-1.724137931,0
600202,2022-01-07,-1.473296501,60
600860,2022-01-07,10.01780944,60
2760,2022-01-07,-4.258886653,0
2908,2022-01-07,2.629543697,0
600381,2022-01-07,10.05235602,60
2639,2022-01-07,-3.49940688,0
812,2022-01-07,-10.01964637,0
300056,2022-01-07,-9.837962963,30
2177,2022-01-07,9.282178218,0
546,2022-01-07,-9.987277354,0
600530,2022-01-07,9.944751381,60
601669,2022-01-07,4.242424242,60
1219,2022-01-07,9.99617005,0
2017,2022-01-07,-0.568181818,0
719,2022-01-07,9.378531073,0
300389,2022-01-07,3.2599837,30
600272,2022-01-07,10.00918274,60
600613,2022-01-07,-6.240713224,60
600773,2022-01-07,-4.883546206,60
2627,2022-01-07,-3.541315346,0
2140,2022-01-07,4.486743712,0
688075,2022-01-07,20.00203169,68
762,2022-01-07,-4.458239278,0
620,2022-01-07,10.17699115,0
607,2022-01-07,-3.666666667,0
558,2022-01-07,-7.212475634,0
688319,2022-01-07,-3.643083421,68
2694,2022-01-07,10.06711409,0
2671,2022-01-07,-4.604051565,0
650,2022-01-07,-2.669404517,0
409,2022-01-07,0.561797753,0
603398,2022-01-07,4.764065336,60
300584,2022-01-07,-0.328176278,30
503,2022-01-07,-10.00465333,0
301096,2022-01-07,2.255225523,30
600338,2022-01-07,-7.539568345,60
600844,2022-01-07,-4.645476773,60
600189,2022-01-07,-4.027617952,60
554,2022-01-07,1.519756839,0
300580,2022-01-07,4.091494845,30
530,2022-01-07,-4.11686587,0
600853,2022-01-07,-6.012658228,60
600262,2022-01-07,-9.985785359,60
300858,2022-01-07,-6.874013973,30
300813,2022-01-07,-1.7719931,30
2886,2022-01-07,-3.697024346,0
300039,2022-01-07,-10.06993007,30
300111,2022-01-07,-6.166219839,30
603616,2022-01-07,9.946236559,60
300026,2022-01-07,-13.74458874,30
600759,2022-01-10,2.272727273,60
2629,2022-01-10,-5.032822757,0
2547,2022-01-10,-2.805611222,0
1219,2022-01-10,9.993036212,0
300795,2022-01-10,3.487490523,30
3037,2022-01-10,-0.78125,0
600530,2022-01-10,-10.05025126,60
688399,2022-01-10,5.88193406,68
603856,2022-01-10,2.805049088,60
665,2022-01-10,10.0130039,0
600053,2022-01-10,4.235294118,60
918,2022-01-10,4.195804196,0
300461,2022-01-10,-6.109461179,30
620,2022-01-10,10.04016064,0
300462,2022-01-10,-1.426718547,30
601811,2022-01-10,-1.445086705,60
600212,2022-01-10,-1.528384279,60
688068,2022-01-10,11.77858618,68
1296,2022-01-10,-2.949283352,0
300981,2022-01-10,0.690954774,30
300400,2022-01-10,-0.997506234,30
2613,2022-01-10,10.02277904,0
605598,2022-01-10,-6.533398342,60
2217,2022-01-10,10.10362694,0
732,2022-01-10,2.380952381,0
603616,2022-01-10,10.02444988,60
600077,2022-01-10,-9.571788413,60
300939,2022-01-10,-4.092976251,30
300928,2022-01-10,-4.622059069,30
603716,2022-01-10,10.03115265,60
603399,2022-01-10,10.01267427,60
778,2022-01-10,0.386100386,0
603138,2022-01-10,9.958506224,60
301159,2022-01-10,3.253796095,30
2694,2022-01-10,-9.298780488,0
600213,2022-01-10,-4.170804369,60
603230,2022-01-10,10.01846722,60
605069,2022-01-10,-9.976580796,60
688606,2022-01-10,19.9969621,68
603176,2022-01-10,10.02785515,60
2370,2022-01-10,10.03460208,0
603123,2022-01-10,10.09251472,60
600381,2022-01-10,-2.949571836,60
600272,2022-01-10,10.01669449,60
600815,2022-01-10,-3.899721448,60
688075,2022-01-10,19.99492085,68
2803,2022-01-10,7.863247863,0
300546,2022-01-10,4.272086271,30
2482,2022-01-10,-5.940594059,0
2932,2022-01-10,9.998127691,0
300374,2022-01-10,3.728813559,30
300312,2022-01-10,-4.805491991,30
600860,2022-01-10,-6.960744638,60
688355,2022-01-10,-0.577398955,68
2952,2022-01-10,9.986413043,0
688317,2022-01-11,0.316508412,68
300193,2022-01-11,0.0,30
300214,2022-01-11,-2.378121284,30
600476,2022-01-11,4.436363636,60
603580,2022-01-11,1.960784314,60
2735,2022-01-11,1.532912534,0
600823,2022-01-11,-3.20855615,60
2548,2022-01-11,-1.195814649,0
2728,2022-01-11,2.636309167,0
603895,2022-01-11,4.583168708,60
603596,2022-01-11,-5.028571429,60
688075,2022-01-11,20.0,68
301035,2022-01-11,-2.961403509,30
32,2022-01-11,-4.365400162,0
2584,2022-01-11,5.765595463,0
300642,2022-01-11,-1.546932354,30
2567,2022-01-11,-0.946745562,0
600283,2022-01-11,-2.904564315,60
300659,2022-01-11,-5.118270799,30
688606,2022-01-11,15.48101266,68
688662,2022-01-11,-5.307377049,68
600202,2022-01-11,-3.225806452,60
301083,2022-01-11,-3.388035998,30
665,2022-01-11,10.04728132,0
603616,2022-01-11,-7.0,60
300398,2022-01-11,-4.910418049,30
533,2022-01-11,5.769230769,0
1219,2022-01-11,-10.00316556,0
300412,2022-01-11,-3.090128755,30
603230,2022-01-11,-9.987410827,60
2059,2022-01-11,-2.835051546,0
2316,2022-01-11,3.448275862,0
603035,2022-01-11,-0.325027086,60
603598,2022-01-11,-4.651162791,60
2932,2022-01-11,-2.246808511,0
2613,2022-01-11,4.140786749,0
2746,2022-01-11,-2.318548387,0
2802,2022-01-11,-0.898045431,0
2865,2022-01-11,0.578526459,0
2346,2022-01-11,4.374702806,0
300765,2022-01-11,-7.015650297,30
688058,2022-01-11,-0.124446903,68
2654,2022-01-11,-3.06345733,0
2370,2022-01-11,10.06289308,0
603176,2022-01-11,10.12658228,60
688111,2022-01-11,-0.060064569,68
300261,2022-01-11,7.641196013,30
603168,2022-01-11,9.99000999,60
2843,2022-01-11,-1.353637902,0
600337,2022-01-11,-3.258145363,60
301073,2022-01-11,0.0,30
1205,2022-01-11,4.741784038,0
301038,2022-01-11,-6.549520767,30
603138,2022-01-11,2.594339623,60
619,2022-01-11,9.932659933,0
301108,2022-01-11,-10.45133804,30
600168,2022-01-11,4.55801105,60
688068,2022-01-11,5.708505585,68
790,2022-01-11,-1.697530864,0
603499,2022-01-11,-2.658486708,60
557,2022-01-11,2.605210421,0
603357,2022-01-11,3.149606299,60
600136,2022-01-11,-2.979274611,60
